question_id;order;section;question_type;good_answer;name_fr;question_fr;example_fr;suggestion_fr;name_en;question_en;example_en;suggestion_en
8;2;validation;boolean;1;Validation des performances;Est-ce les critères sont remplis par le modèle ?;;"Utilisation du module ""Performance"" pour analyser la performance du modèle.";Performance validation;Are the criteria met by the model?;;"Use of the ""Performance"" module to analyze the performance of the model."
9;;validation;boolean;1;Explicabilité;Avez-vous connaissance de comment le modèle fonctionne en général, quelles sont les variables ayant le plus d’importance ?;;"Utilisation du module ""Explicabilité"" pour analyser comportement du modèle.";Explanability;Are you aware of how the model works in general, which variables are most important?;;"Use of the ""Explicability"" module to analyze model behavior."
10;;validation;boolean;1;Interprétabilité;Avez-vous cherché à utiliser le modèle le plus simple et le plus facile à interpréter pour l’application en question ? ;Si vous utilisez un réseau de neurones pour une classification, avez-vous essayé un arbre de décision ou une Forêt aléatoire avant ?;Lors d'un prochain entraînement essayer un modèle plus simple pour comparer les performances.;Interpretability;Have you tried to use the simplest and easiest interpretable model for the application in question? ;If you use a neural network for classification, have you tried a decision tree or a Random Forest before?;During a next training session, try a simpler model to compare performances.
11;1;validation;boolean;1;Eviter les biais injustes;Si une incidence sociale est identifiée, avez-vous défini sur quels attributs une personne pourrait être discriminée ?;Genre, âge ou status marital.;;Avoiding unfair bias;If a social impact is identified, have you defined on which attributes a person might be discriminated against?;Gender, age or marital status.;
11;2;validation;boolean;1;Eviter les biais injustes;Avez-vous analysé les biais potentiels sur les attributs à protéger et valider que leur incidence n’a pas d’impact discriminant ?;;"Utilisation du module ""Analyse des biais"" pour analyser les biais d'un modèle.";Avoiding unfair bias;Have you analysed the potential biases on the attributes to be protected and validated that their incidence does not have a discriminatory impact?;;"Use the ""Bias analysis"" module to analyze the biases of a model."
12;1;safety;boolean;;Résilience du modèle;Avez-vous identifié les formes d’attaques adverses potentielles comme la pollution des données ?;;https://github.com/IBM/adversarial-robustness-toolbox;Model Resilience;Have you identified potential forms of adverse attacks such as data pollution?;;https://github.com/IBM/adversarial-robustness-toolbox
12;2;safety;boolean;1;Résilience du modèle;Avez-vous tester des scénarios extrêmes (rare) et des scénarios communs pour voir comment le modèle se comporte ?;;"Utilisation du module ""Test de scénarii"" pour éprouver le comportement du modèle.";Model Resilience;Have you tested extreme (rare) and common scenarios to see how the model behaves?;;"Use of the ""Scenario testing"" module to test the model's behavior."
13;1;safety;boolean_if_yes;1;Plan de secours;En cas de disfonctionnement du modèle, avez-vous prévu au moins une procédure permettant d’assurer le continuité de service de l’IA ? ;;Réfléchir à une procédure de secours comme la mise en place d'une version précédente du modèle par exemple.;Emergency plan;In the event of a model malfunction, have you planned at least one procedure to ensure continuity of service for the AI? ;;Thinking about a backup procedure such as setting up a previous version of the model for example.
13;2;safety;boolean;1;Plan de secours;Si oui, ont-elles été testées ?;;Tester la ou les procédure.s de secours.;Emergency plan;If so, have they been tested?;;Test the backup procedure(s).
14;;safety;boolean;1;Sécurité générale;Vous êtes assuré que les technologies utilisées n’ont pas de failles de sécurité connues ? ;;"Utilisation du module ""Sécurité Python"" si vous utilisez le langage de Python, pour aller plus loins voir le site CVE Details.";General Safety;Are you sure that the technologies used do not have any known security flaws? ;;"Use the ""Python Security"" module if you use the Python language, to go further see the CVE Details site."
15;1;monitoring;boolean;1;Traçabilité;Est-ce que le pipeline technique est documenté ?;;Réaliser une documentation du code et / ou du pipeline technique selon les technologies utilisées.;Traceability;Is the technical pipeline documented?;;Documentation of the code and / or technical pipeline depending on the technologies used.
15;2;monitoring;boolean;1;Traçabilité;Est-ce que vous avez une preuve de la validation de l’IA avant de l’avoir mise en production ?;;Créer un document stipulant les mesures de performances sur le jeu de test.;Traceability;Do you have proof of validation of the AI prior to putting it into production?;;Create a document stipulating performance measures on the test set.
16;1;monitoring;boolean;1;Contrôle humain;Est-ce qu’une procédure récurrente de contrôle de la performance de l’IA a été mise en place pour s’assurer de la viabilité du modèle dans le monde réel ?;;Mettre en place une procédure de contrôle de performance récurrente.;Human Control;Has a recurring procedure for monitoring AI performance been put in place to ensure the viability of the model in the real world?;;Set up a recurring performance monitoring procedure.
16;2;monitoring;boolean_plus_one;1;Contrôle humain;Est-il possible pour un utilisateur du modèle de faire appel sur une prédiction de l’IA et qu’un humain décideur puisse arbitrer sur cet appel ?;;Mettre à minima, un contact pour que l'utilisateur puisse avoir une possibilité de faire appel si la prédiction à un impact négatif.;Human Control;Is it possible for a user of the model to appeal on an AI prediction and for a human decision-maker to arbitrate on this appeal?;;Put at minimum, a contact so that the user can have a possibility to appeal if the prediction has a negative impact.
17;;monitoring;boolean;1;Arbitrage et recours en cas d’impact négatifs;Si un impact négatif est identifié, avez-vous mis en place un ensemble approprié de mécanismes permettant un recours en cas de préjudice ou d’effet néfaste ? ;;;Arbitration and recourse in case of negative impact;If a negative impact is identified, have you put in place an appropriate set of mechanisms to allow for recourse in the event of harm or adverse effects? ;;
